"","arm","aunt","bib","blanket","book","bottle","church","crib","daddy","diaper","hand","home","leg","mommy","sock","spoon","tummy","bite","eat","jump","kiss","love","splash","swim","tickle","wait"
"arm",202,2,3,2,7,3,0,0,0,2,60,0,45,0,0,0,22,0,0,9,6,6,0,1,20,0
"aunt",0,86,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"bib",0,0,95,1,0,6,0,0,0,5,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0
"blanket",0,1,0,140,0,3,0,6,0,8,0,0,7,0,1,0,0,0,0,3,0,0,0,0,0,0
"book",0,11,1,9,2861,32,4,1,0,18,0,0,5,0,14,13,0,0,0,37,0,0,0,0,14,0
"bottle",0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"church",0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crib",0,1,0,0,0,6,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"daddy",7,29,7,5,184,20,3,6,1608,16,62,369,13,0,42,29,6,33,0,30,89,175,5,51,31,92
"diaper",0,0,0,0,0,3,0,0,0,373,0,0,7,0,7,1,0,0,0,2,0,0,0,0,12,0
"hand",0,3,12,5,58,20,2,0,0,7,1107,0,26,0,22,39,20,0,0,24,30,21,6,6,24,0
"home",1,20,0,5,97,7,5,2,0,4,22,424,1,0,2,4,1,10,0,8,11,29,5,15,14,68
"leg",0,0,0,0,0,1,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0
"mommy",78,30,29,29,760,64,1,8,943,138,377,136,102,2882,111,89,37,157,0,45,378,408,27,31,130,210
"sock",0,2,0,0,0,3,0,0,0,0,0,0,6,0,464,0,0,0,0,0,0,0,0,0,18,0
"spoon",0,0,0,0,0,13,3,0,0,0,0,0,2,0,0,420,0,0,0,0,0,0,0,0,11,0
"tummy",0,3,2,4,14,2,0,0,0,6,0,0,14,0,0,3,143,0,0,5,15,17,1,0,39,0
"bite",10,0,5,4,15,0,0,0,0,3,46,0,10,0,3,33,5,510,0,6,43,12,0,0,11,0
"eat",11,6,26,10,173,27,2,8,244,17,185,95,24,612,15,246,53,198,3504,28,31,149,10,31,11,213
"jump",0,0,0,0,0,3,0,0,0,0,0,0,7,0,1,0,0,0,0,1343,0,0,0,0,1,0
"kiss",0,7,0,3,44,11,0,0,0,6,0,0,18,0,6,6,0,0,0,13,966,0,0,0,14,0
"love",0,7,3,9,183,13,5,0,0,4,0,0,7,0,12,6,0,0,0,8,160,955,10,40,42,0
"splash",0,0,0,0,13,8,0,0,0,1,0,0,2,0,0,0,0,0,0,11,3,0,315,0,0,0
"swim",0,1,0,0,6,2,0,0,0,2,0,0,4,0,0,0,0,0,0,21,1,0,57,307,0,0
"tickle",0,7,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3261,0
"wait",19,4,13,3,103,6,2,0,0,10,78,0,18,0,9,27,2,18,0,13,18,22,2,11,3,1380
