"","baby","ball","book","cow","daddy","food","grandma","hand","lamb","mommy","monkey","pig","kiss","look","play","read"
"baby",4668,0,573,189,321,118,25,175,61,997,81,250,383,0,435,259
"ball",201,3284,136,13,163,9,0,64,5,691,3,19,29,0,1255,26
"book",0,0,2861,0,0,0,10,0,22,0,71,113,0,0,0,3469
"cow",0,0,63,919,0,0,0,9,25,0,10,183,19,0,0,24
"daddy",0,0,184,20,1608,39,23,62,0,0,20,24,89,0,292,177
"food",0,0,24,5,0,341,1,30,6,0,4,23,3,0,0,26
"grandma",0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0
"hand",0,0,58,0,0,0,3,1107,3,0,30,17,30,0,0,31
"lamb",0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0
"mommy",0,0,760,56,943,110,26,377,23,2882,30,71,378,0,660,555
"monkey",0,0,0,0,0,0,0,0,1,0,347,0,0,0,0,0
"pig",0,0,0,0,0,0,0,0,32,0,7,1278,0,0,0,0
"kiss",0,0,44,0,0,0,0,0,20,0,19,31,966,0,0,31
"look",1752,822,2065,309,526,385,31,394,32,1504,123,332,141,6513,964,536
"play",0,0,297,63,0,84,28,102,14,0,31,44,54,0,2262,184
"read",0,0,0,0,0,0,8,0,10,0,22,47,0,0,0,1320
