"","ball","book","cat","cheese","daddy","diaper","dog","grandma","grandpa","milk","mommy","puppy","dance","eat","kiss","sleep","throw","wait"
"ball",3284,136,51,9,163,16,0,0,0,8,691,34,16,0,29,29,1146,51
"book",0,2861,174,3,0,18,0,10,3,0,0,0,0,0,0,0,0,0
"cat",0,0,1491,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cheese",0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"daddy",0,184,34,43,1608,16,0,23,12,48,0,0,21,0,89,149,47,92
"diaper",0,0,2,1,0,373,0,1,0,0,0,0,0,0,0,0,0,0
"dog",108,178,735,12,87,5,2160,4,0,17,159,253,13,273,66,146,30,41
"grandma",0,0,11,5,0,0,0,116,101,0,0,0,0,0,0,0,0,0
"grandpa",0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0
"milk",0,16,46,40,0,1,0,3,0,585,0,0,0,0,2,0,0,0
"mommy",0,760,57,113,943,138,0,26,10,175,2882,35,54,0,378,187,488,210
"puppy",0,127,34,0,35,1,0,0,0,8,0,473,14,0,34,18,10,9
"dance",0,25,16,2,0,1,0,3,0,3,0,0,485,0,7,0,0,0
"eat",88,173,111,363,244,17,0,13,3,204,612,23,20,3504,31,67,66,213
"kiss",0,44,53,1,0,6,0,0,0,0,0,0,0,0,966,0,0,0
"sleep",0,88,38,2,0,10,0,19,9,20,0,0,15,0,30,764,8,0
"throw",0,79,9,2,0,33,0,1,1,22,0,0,2,0,11,0,780,0
"wait",0,103,18,16,0,10,0,14,6,30,0,0,9,0,18,22,20,1380
