"","baby","banana","book","bottle","cat","daddy","diaper","dog","grandma","grandpa","mommy","mouth","sister","eat"
"baby",4668,28,573,253,278,321,150,0,25,9,997,116,104,0
"banana",0,419,0,29,0,0,0,0,0,0,0,0,0,0
"book",0,10,2861,32,174,0,18,0,10,3,0,0,0,0
"bottle",0,0,0,439,0,0,0,0,0,0,0,0,0,0
"cat",0,0,0,97,1491,0,0,0,0,0,0,0,0,0
"daddy",0,12,184,20,34,1608,16,0,23,12,0,27,25,0
"diaper",0,0,0,3,2,0,373,0,1,0,0,0,0,0
"dog",271,11,178,59,735,87,5,2160,4,0,159,36,4,273
"grandma",0,0,0,0,11,0,0,0,116,101,0,0,0,0
"grandpa",0,0,0,0,0,0,0,0,0,31,0,0,0,0
"mommy",0,60,760,64,57,943,138,0,26,10,2882,133,35,0
"mouth",0,10,34,29,8,0,0,0,0,1,0,522,0,0
"sister",0,0,34,4,1,0,4,0,1,7,0,2,97,0
"eat",456,221,173,27,111,244,17,0,13,3,612,269,18,3504
