"","banana","bed","book","bottle","cat","daddy","dog","food","grandma","grandpa","home","mommy","outside","puppy","stroller","look","love","tickle"
"banana",419,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bed",1,720,134,12,27,127,0,11,0,3,36,214,23,12,0,0,17,4
"book",10,0,2861,32,174,0,0,0,10,3,0,0,0,0,0,0,0,14
"bottle",0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cat",0,0,0,97,1491,0,0,0,0,0,0,0,0,0,0,0,0,4
"daddy",12,0,184,20,34,1608,0,39,23,12,369,0,0,0,0,0,175,31
"dog",11,89,178,59,735,87,2160,113,4,0,88,159,83,253,0,0,52,29
"food",10,0,24,6,38,0,0,341,1,2,0,0,0,0,0,0,21,2
"grandma",0,0,0,0,11,0,0,0,116,101,0,0,0,0,0,0,0,0
"grandpa",0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
"home",2,0,97,7,26,0,0,23,13,13,424,0,0,0,0,0,29,14
"mommy",60,0,760,64,57,943,0,110,26,10,136,2882,64,35,0,0,408,130
"outside",3,0,28,27,10,101,0,18,1,0,29,0,331,0,0,0,12,2
"puppy",15,0,127,2,34,35,0,6,0,0,9,0,8,473,0,0,23,27
"stroller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"look",102,265,2065,144,539,526,706,385,31,12,172,1504,289,115,0,6513,224,66
"love",41,0,183,13,60,0,0,0,11,0,0,0,0,0,0,0,955,42
"tickle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3261
