"","arm","baby","ball","banana","bed","book","bottle","car","cat","cow","daddy","dog","duck","ear","eye","food","foot","grandma","grandpa","hair","hand","horse","mommy","nose","sheep","shoe","stroller","toe","uncle","go","look","play","read","sing"
"arm",202,0,0,0,0,7,3,0,7,0,0,0,3,11,8,0,37,0,0,7,60,0,0,10,0,5,0,9,0,0,0,0,6,1
"baby",35,4668,0,28,214,573,253,89,278,189,321,0,219,54,128,118,136,25,9,163,175,181,997,164,56,87,0,117,30,0,0,435,259,107
"ball",12,201,3284,5,24,136,25,101,51,13,163,0,69,4,83,9,641,0,0,21,64,9,691,73,5,57,0,13,6,0,0,1255,26,17
"banana",0,0,0,419,0,0,29,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"bed",6,0,0,1,720,134,12,0,27,11,127,0,24,5,12,11,21,0,3,16,17,3,214,7,15,33,0,3,0,0,0,87,130,20
"book",0,0,0,10,0,2861,32,0,174,0,0,0,0,19,33,0,0,10,3,26,0,0,0,0,6,0,0,0,0,0,0,0,3469,55
"bottle",0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"car",7,0,0,15,39,129,3,1601,26,17,250,0,55,6,11,11,35,6,3,23,37,33,169,9,5,23,0,7,8,0,0,279,43,20
"cat",0,0,0,0,0,0,97,0,1491,0,0,0,0,0,30,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,12
"cow",0,0,0,1,0,63,8,0,64,919,0,0,63,32,13,0,9,0,0,7,9,201,0,8,130,7,0,0,0,0,0,0,24,15
"daddy",7,0,0,12,0,184,20,0,34,20,1608,0,33,27,31,39,81,23,12,67,62,33,0,37,3,79,0,20,26,0,0,292,177,66
"dog",2,271,108,11,89,178,59,78,735,128,87,2160,118,53,33,113,43,4,0,60,35,105,159,50,53,41,0,47,7,0,0,208,92,7
"duck",0,0,0,4,0,100,3,0,59,0,0,0,1316,6,30,0,0,0,0,17,28,0,0,19,17,23,0,0,0,0,0,0,47,15
"ear",0,0,0,0,0,0,4,0,26,0,0,0,0,403,170,0,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"eye",0,0,0,0,0,0,5,0,0,0,0,0,0,0,960,0,0,0,0,125,0,0,0,0,11,0,0,0,0,0,0,0,0,9
"food",4,0,0,10,0,24,6,0,38,5,0,0,19,1,6,341,5,1,2,31,30,13,0,18,0,3,0,1,0,0,0,0,26,4
"foot",0,0,0,0,0,108,2,0,29,0,0,0,37,18,50,0,2508,5,0,24,185,0,0,41,4,166,0,189,0,0,0,0,40,4
"grandma",0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,116,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"grandpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hair",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,908,0,0,0,0,5,0,0,0,0,0,0,0,0,2
"hand",0,0,0,15,0,58,20,0,10,0,0,0,0,30,38,0,0,3,0,56,1107,0,0,42,3,24,0,0,0,0,0,0,31,21
"horse",2,0,0,0,0,31,2,0,23,0,0,0,90,1,13,0,18,3,0,12,19,844,0,21,48,30,0,9,0,0,0,0,12,2
"mommy",78,0,0,60,0,760,64,0,57,56,943,0,111,96,168,110,165,26,10,333,377,112,2882,294,23,259,0,88,17,0,0,660,555,139
"nose",0,0,0,0,0,28,10,0,18,0,0,0,0,136,521,0,0,1,1,76,0,0,0,1005,5,18,0,0,0,0,0,0,15,3
"sheep",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0
"shoe",0,0,0,9,0,79,7,0,6,0,0,0,0,14,6,0,0,1,1,24,0,0,0,0,1,971,0,0,0,0,0,0,17,4
"stroller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toe",0,0,0,0,0,13,2,0,57,0,0,0,2,28,28,0,0,2,1,13,16,0,0,70,0,55,0,906,0,0,0,0,6,3
"uncle",0,0,0,0,0,6,0,0,2,1,0,0,4,0,0,2,0,8,20,0,7,8,0,0,2,3,0,0,99,0,0,0,8,0
"go",226,2889,2059,158,1619,2039,277,1851,556,506,2197,1220,471,198,403,534,877,126,69,623,1120,496,4258,461,128,671,0,220,108,21153,0,3745,1436,482
"look",68,1752,822,102,265,2065,144,566,539,309,526,706,415,181,518,385,472,31,12,386,394,215,1504,235,137,249,0,86,23,5702,6513,964,536,67
"play",16,0,0,19,0,297,38,0,109,63,0,0,62,28,36,84,163,28,8,35,102,46,0,44,13,76,0,25,23,0,0,2262,184,107
"read",0,0,0,5,0,0,6,0,101,0,0,0,0,8,31,0,0,8,6,18,0,0,0,0,13,0,0,0,0,0,0,0,1320,23
"sing",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,710
