"","airplane","apple","baby","ball","balloon","banana","bird","book","bottle","brother","bubbles","bus","cup","daddy","diaper","dog","egg","elephant","grandma","horse","mommy","pajamas","park","stroller","train","tummy","cry","look"
"airplane",198,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"apple",7,846,0,0,24,0,0,0,52,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0
"baby",125,77,4668,0,22,28,347,573,253,105,0,83,84,321,150,0,81,313,25,181,997,9,16,0,21,53,307,0
"ball",14,36,201,3284,33,5,30,136,25,0,0,21,23,163,16,0,27,10,0,9,691,1,2,0,26,1,14,0
"balloon",4,0,0,0,412,0,0,0,1,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0
"banana",1,68,0,0,5,419,0,0,29,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0
"bird",9,15,0,0,12,10,1260,82,8,2,0,10,0,0,4,0,0,42,0,0,0,2,0,0,6,2,49,0
"book",15,54,0,0,21,10,0,2861,32,0,0,27,0,0,18,0,0,81,10,0,0,9,0,0,85,0,0,0
"bottle",0,0,0,0,0,0,0,0,439,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brother",6,7,0,0,5,0,0,10,0,90,0,3,0,0,0,0,0,1,3,0,0,0,0,0,3,1,0,0
"bubbles",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bus",0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cup",2,30,0,0,5,5,3,7,32,1,0,1,623,0,2,0,19,6,1,2,0,0,2,0,12,1,3,0
"daddy",9,37,0,0,19,12,32,184,20,24,0,13,20,1608,16,0,42,17,23,33,0,5,22,0,84,6,36,0
"diaper",0,4,0,0,0,0,0,0,3,0,0,0,0,0,373,0,0,1,1,0,0,10,0,0,4,0,0,0
"dog",5,22,271,108,21,11,112,178,59,12,0,49,12,87,5,2160,27,43,4,105,159,0,18,0,31,8,18,0
"egg",4,34,0,0,8,4,103,50,8,3,0,2,0,0,1,0,1067,22,6,0,0,0,0,0,3,0,6,0
"elephant",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,96,0,0,0
"grandma",1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,2,0,0,1,0,0,0
"horse",2,5,0,0,2,0,39,31,2,1,4,2,0,0,4,0,6,18,3,844,0,0,5,0,12,1,11,0
"mommy",22,99,0,0,20,60,59,760,64,33,0,87,152,943,138,0,94,50,26,112,2882,27,15,0,78,37,62,0
"pajamas",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
"park",1,3,0,0,6,0,4,4,0,1,0,20,0,0,0,0,1,1,2,0,0,1,104,0,22,0,0,0
"stroller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"train",0,0,0,0,0,0,0,0,6,0,0,38,0,0,0,0,0,0,0,0,0,4,0,0,735,0,0,0
"tummy",0,2,0,0,0,3,0,14,2,0,0,1,0,0,6,0,0,0,0,0,0,3,0,0,3,143,0,0
"cry",0,5,0,0,6,2,0,14,11,10,0,18,0,0,15,0,0,0,0,0,0,6,0,0,5,2,332,0
"look",84,300,1752,822,127,102,524,2065,144,37,1,132,192,526,68,706,246,397,31,215,1504,23,49,0,179,32,84,6513
