"","ball","bed","daddy","diaper","dog","home","mommy","stairs","eat","hug","kiss","wait","walk"
"ball",3284,24,163,16,0,37,691,0,0,9,29,51,27
"bed",0,720,127,10,0,36,214,0,0,11,14,43,20
"daddy",0,0,1608,16,0,369,0,0,0,42,89,92,60
"diaper",0,0,0,373,0,0,0,0,0,1,0,0,0
"dog",108,89,87,5,2160,88,159,0,273,24,66,41,172
"home",0,0,0,4,0,424,0,0,0,5,11,68,56
"mommy",0,0,943,138,0,136,2882,0,0,159,378,210,144
"stairs",0,0,0,0,0,0,0,0,0,0,0,0,0
"eat",88,102,244,17,0,95,612,0,3504,29,31,213,39
"hug",0,0,0,0,0,0,0,0,0,303,0,0,0
"kiss",0,0,0,6,0,0,0,0,0,171,966,0,0
"wait",0,0,0,10,0,0,0,0,0,2,18,1380,29
"walk",0,0,0,5,0,0,0,0,0,13,15,0,1196
