Words (0),Entry (1),POS (2),Sense (3),String (4)
airplane,airplane,.n.,01,airplane.n.01
animal,animal,.n.,01,animal.n.01
apple,apple,.n.,01,apple.n.01
arm,arm,.n.,01,arm.n.01
aunt,aunt,.n.,01,aunt.n.01
baby,baby,.n.,01,baby.n.01
babysitter,babysitter,.n.,01,babysitter.n.01
backyard,backyard,.n.,01,backyard.n.01
ball,ball,.n.,01,ball.n.01
balloon,balloon,.n.,02,balloon.n.02
banana,banana,.n.,02,banana.n.02
bath,bath,.n.,02,bath.n.02
bathroom,toilet,.n.,01,toilet.n.01
bathtub,bathtub,.n.,01,bathtub.n.01
beach,beach,.n.,01,beach.n.01
beads,beads,.n.,01,beads.n.01
bear,bear,.n.,01,bear.n.01
bed,bed,.n.,01,bed.n.01
bedroom,bedroom,.n.,01,bedroom.n.01
bee,bee,.n.,01,bee.n.01
belly_button,navel,.n.,01,navel.n.01
bib,bib,.n.,02,bib.n.02
bicycle,bicycle,.n.,01,bicycle.n.01
bird,bird,.n.,01,bird.n.01
blanket,blanket,.n.,01,blanket.n.01
block,block,.n.,03,block.n.03
block,block,.n.,01,block.n.01
book,book,.n.,02,book.n.02
book,book,.n.,01,book.n.01
boots,boot,.n.,01,boot.n.01
bottle,bottle,.n.,01,bottle.n.01
bottle,bottle,.n.,03,bottle.n.03
bowl,bowl,.n.,01,bowl.n.01
bowl,bowl,.n.,03,bowl.n.03
box,box,.n.,01,box.n.01
boy,male_child,.n.,01,male_child.n.01
bread,bread,.n.,01,bread.n.01
breakfast,breakfast,.n.,01,breakfast.n.01
broom,broom,.n.,01,broom.n.01
brother,brother,.n.,01,brother.n.01
brush,brush,.n.,02,brush.n.02
bubbles,bubble,.n.,01,bubble.n.01
bug,bug,.n.,01,bug.n.01
bunny,bunny,.n.,02,bunny.n.02
bus,bus,.n.,01,bus.n.01
butter,butter,.n.,01,butter.n.01
butterfly,butterfly,.n.,01,butterfly.n.01
button,button,.n.,01,button.n.01
bye,adieu,.n.,01,adieu.n.01
cake,cake,.n.,03,cake.n.03
candy,candy,.n.,01,candy.n.01
car,car,.n.,01,car.n.01
carrots,carrot,.n.,01,carrot.n.01
carrots,carrot,.n.,03,carrot.n.03
cat,cat,.n.,01,cat.n.01
cereal,cereal,.n.,03,cereal.n.03
chair,chair,.n.,01,chair.n.01
cheek,cheek,.n.,01,cheek.n.01
cheese,cheese,.n.,01,cheese.n.01
chicken (animal),chicken,.n.,02,chicken.n.02
chicken (food),chicken,.n.,01,chicken.n.01
child,child,.n.,01,child.n.01
child,child,.n.,02,child.n.02
church,church,.n.,02,church.n.02
clock,clock,.n.,01,clock.n.01
coat,coat,.n.,01,coat.n.01
coffee,coffee,.n.,01,coffee.n.01
comb,comb,.n.,01,comb.n.01
cookie,cookie,.n.,01,cookie.n.01
couch,sofa,.n.,01,sofa.n.01
cow,cow,.n.,01,cow.n.01
cow,cow,.n.,02,cow.n.02
cracker,cracker,.n.,01,cracker.n.01
crib,crib,.n.,01,crib.n.01
cup,cup,.n.,01,cup.n.01
daddy,dad,.n.,01,dad.n.01
father,father,.n.,01,father.n.01
deer,deer,.n.,01,deer.n.01
diaper,diaper,.n.,01,diaper.n.01
dinner,dinner,.n.,01,dinner.n.01
dish,dish,.n.,01,dish.n.01
dog,dog,.n.,01,dog.n.01
doll,doll,.n.,01,doll.n.01
donkey,domestic_ass,.n.,01,domestic_ass.n.01
door,door,.n.,01,door.n.01
drawer,drawer,.n.,01,drawer.n.01
dress,dress,.n.,01,dress.n.01
drink,drink,.n.,01,drink.n.01
drink,drink,.n.,03,drink.n.03
duck,duck,.n.,01,duck.n.01
ear,ear,.n.,01,ear.n.01
egg,egg,.n.,01,egg.n.01
elephant,elephant,.n.,01,elephant.n.01
eye,eye,.n.,01,eye.n.01
face,face,.n.,01,face.n.01
finger,finger,.n.,01,finger.n.01
firetruck,fire_engine,.n.,01,fire_engine.n.01
fish (animal),fish,.n.,01,fish.n.01
fish (food),fish,.n.,02,fish.n.02
flower,flower,.n.,02,flower.n.02
food,food,.n.,01,food.n.01
food,food,.n.,02,food.n.02
foot,foot,.n.,01,foot.n.01
foot,animal_foot,.n.,01,animal_foot.n.01
fork,fork,.n.,01,fork.n.01
frog,frog,.n.,01,frog.n.01
garage,garage,.n.,01,garage.n.01
garden,garden,.n.,03,garden.n.03
giraffe,giraffe,.n.,01,giraffe.n.01
girl,girl,.n.,01,girl.n.01
girl,girl,.n.,02,girl.n.02
glass,glass,.n.,02,glass.n.02
glasses,spectacles,.n.,01,spectacles.n.01
goose,goose,.n.,01,goose.n.01
grandma,grandma,.n.,01,grandma.n.01
grandpa,grandfather,.n.,01,grandfather.n.01
hair,hair,.n.,01,hair.n.01
hammer,hammer,.n.,02,hammer.n.02
hand,hand,.n.,01,hand.n.01
hat,hat,.n.,01,hat.n.01
head,head,.n.,01,head.n.01
home,home,.n.,01,home.n.01
home,dwelling,.n.,01,dwelling.n.01
horse,horse,.n.,01,horse.n.01
house,house,.n.,01,house.n.01
ice_cream,ice_cream,.n.,01,ice_cream.n.01
jacket,jacket,.n.,01,jacket.n.01
jeans,jean,.n.,01,jean.n.01
jeans,denim,.n.,02,denim.n.02
juice,juice,.n.,01,juice.n.01
keys,key,.n.,01,key.n.01
kitchen,kitchen,.n.,01,kitchen.n.01
knee,knee,.n.,01,knee.n.01
lady,lady,.n.,01,lady.n.01
lamb,lamb,.n.,01,lamb.n.01
lamp,lamp,.n.,01,lamp.n.01
lamp,lamp,.n.,02,lamp.n.02
leg,leg,.n.,01,leg.n.01
light,light,.n.,02,light.n.02
lion,lion,.n.,01,lion.n.01
living_room,living_room,.n.,01,living_room.n.01
lunch,lunch,.n.,01,lunch.n.01
man,man,.n.,01,man.n.01
meat,meat,.n.,01,meat.n.01
medicine,medicine,.n.,02,medicine.n.02
milk,milk,.n.,01,milk.n.01
milk,milk,.n.,02,milk.n.02
mommy,ma,.n.,01,ma.n.01
mother,mother,.n.,01,mother.n.01
money,money,.n.,01,money.n.01
money,money,.n.,02,money.n.02
money,money,.n.,03,money.n.03
monkey,monkey,.n.,01,monkey.n.01
moon,moon,.n.,01,moon.n.01
moon,moon,.n.,02,moon.n.02
motorcycle,motorcycle,.n.,01,motorcycle.n.01
mouse,mouse,.n.,01,mouse.n.01
mouth,mouth,.n.,01,mouth.n.01
mouth,mouth,.n.,02,mouth.n.02
nap,nap,.n.,04,nap.n.04
nap,sleep,.n.,03,sleep.n.03
necklace,necklace,.n.,01,necklace.n.01
noodles,noodle,.n.,01,noodle.n.01
nose,nose,.n.,01,nose.n.01
orange,orange,.n.,01,orange.n.01
outside,outside,.n.,01,outside.n.01
oven,oven,.n.,01,oven.n.01
owl,owl,.n.,01,owl.n.01
pajamas,pajama,.n.,02,pajama.n.02
pants,trouser,.n.,01,trouser.n.01
pants,trouser,.n.,02,trouser.n.02
paper,paper,.n.,04,paper.n.04
paper,paper,.n.,01,paper.n.01
park,park,.n.,02,park.n.02
party,party,.n.,04,party.n.04
peas,pea,.n.,01,pea.n.01
peekaboo,peekaboo,.n.,01,peekaboo.n.01
pen,pen,.n.,01,pen.n.01
penguin,penguin,.n.,01,penguin.n.01
penny,penny,.n.,02,penny.n.02
penny,penny,.n.,01,penny.n.01
people,people,.n.,01,people.n.01
person,person,.n.,01,person.n.01
picture,photograph,.n.,01,photograph.n.01
picture,picture,.n.,01,picture.n.01
pig,hog,.n.,03,hog.n.03
pillow,pillow,.n.,01,pillow.n.01
pizza,pizza,.n.,01,pizza.n.01
plant,plant,.n.,02,plant.n.02
plate,plate,.n.,04,plate.n.04
pony,pony,.n.,05,pony.n.05
pool,swimming_pool,.n.,01,swimming_pool.n.01
pool,pool,.n.,01,pool.n.01
potty,toilet,.n.,02,toilet.n.02
potty,chamberpot,.n.,01,chamberpot.n.01
puppy,puppy,.n.,01,puppy.n.01
purse,bag,.n.,04,bag.n.04
radio,radio,.n.,01,radio.n.01
radio,radio,.n.,03,radio.n.03
radio,radio_receiver,.n.,01,radio_receiver.n.01
rain,rain,.n.,01,rain.n.01
rain,rain,.n.,02,rain.n.02
raisin,raisin,.n.,01,raisin.n.01
refrigerator,refrigerator,.n.,01,refrigerator.n.01
refrigerator,electric_refrigerator,.n.,01,electric_refrigerator.n.01
rock,rock,.n.,01,rock.n.01
rock,rock,.n.,02,rock.n.02
rocking_chair,rocking_chair,.n.,01,rocking_chair.n.01
school,school,.n.,01,school.n.01
school,school,.n.,02,school.n.02
school,school,.n.,05,school.n.05
school,school,.n.,06,school.n.06
scissors,scissors,.n.,01,scissors.n.01
sheep,sheep,.n.,01,sheep.n.01
shirt,shirt,.n.,01,shirt.n.01
shirt,jersey,.n.,03,jersey.n.03
shoe,shoe,.n.,01,shoe.n.01
shorts,short_pants,.n.,01,short_pants.n.01
shovel,shovel,.n.,01,shovel.n.01
sink,sink,.n.,01,sink.n.01
sister,sister,.n.,01,sister.n.01
sky,sky,.n.,01,sky.n.01
slide,slide,.n.,04,slide.n.04
snow,snow,.n.,01,snow.n.01
soap,soap,.n.,01,soap.n.01
sock,sock,.n.,01,sock.n.01
spaghetti,spaghetti,.n.,02,spaghetti.n.02
spoon,spoon,.n.,01,spoon.n.01
squirrel,squirrel,.n.,01,squirrel.n.01
stairs,stairs,.n.,01,stairs.n.01
star,star,.n.,01,star.n.01
star,star,.n.,03,star.n.03
store,shop,.n.,01,shop.n.01
stove,stove,.n.,01,stove.n.01
stroller,baby_buggy,.n.,01,baby_buggy.n.01
sun,sun,.n.,01,sun.n.01
sun,sunlight,.n.,01,sunlight.n.01
sweater,sweater,.n.,01,sweater.n.01
swing,swing,.n.,02,swing.n.02
table,table,.n.,02,table.n.02
teacher,teacher,.n.,01,teacher.n.01
teddy_bear,teddy,.n.,01,teddy.n.01
telephone/cellphone,telephone,.n.,01,telephone.n.01
telephone/cellphone,cellular_telephone,.n.,01,cellular_telephone.n.01
thank_you,thank_you,.n.,01,thank_you.n.01
tiger,tiger,.n.,02,tiger.n.02
toast,toast,.n.,01,toast.n.01
toe,toe,.n.,01,toe.n.01
tongue,tongue,.n.,01,tongue.n.01
tooth,tooth,.n.,01,tooth.n.01
toothbrush,toothbrush,.n.,01,toothbrush.n.01
towel,towel,.n.,01,towel.n.01
toy,plaything,.n.,01,plaything.n.01
train,train,.n.,01,train.n.01
trash,rubbish,.n.,01,rubbish.n.01
tree,tree,.n.,01,tree.n.01
truck,truck,.n.,01,truck.n.01
tummy,stomach,.n.,01,stomach.n.01
tummy,abdomen,.n.,01,abdomen.n.01
turtle,turtle,.n.,02,turtle.n.02
TV,television_receiver,.n.,01,television_receiver.n.01
TV,television,.n.,01,television.n.01
TV,television,.n.,02,television.n.02
uncle,uncle,.n.,01,uncle.n.01
vacuum,vacuum,.n.,04,vacuum.n.04
wait,wait,.n.,01,wait.n.01
wait,delay,.n.,01,delay.n.01
want to,wish,.n.,01,wish.n.01
watch,watch,.n.,01,watch.n.01
water,water,.n.,06,water.n.06
water (not beverage),water,.n.,01,water.n.01
water (not beverage),body_of_water,.n.,01,body_of_water.n.01
window,window,.n.,01,window.n.01
window,window,.n.,02,window.n.02
work (place),workplace,.n.,01,workplace.n.01
yes,yes,.n.,01,yes.n.01
zipper,slide_fastener,.n.,01,slide_fastener.n.01
zoo,menagerie,.n.,02,menagerie.n.02
