"","airplane","alligator","animal","ankle","ant","apple","applesauce","arm","aunt","baby","ball","balloon","banana","basement","basket","bat","bathroom","beach","bear","bed","bedroom","bee","belt","bench","bib","bicycle","bird","blanket","block","boat","book","boots","bottle","bowl","box","boy","bread","broom","brother","brush","bubbles","bucket","bug","bunny","bus","butter","butterfly","button","cake","camera","candy","car","carrots","cat","cereal","chair","chalk","cheek","cheerios","cheese","child","chin","chocolate","church","circus","clock","closet","clown","coat","coffee","coke","comb","cookie","corn","couch","country","cow","cowboy","cracker","crayon","crib","cup","daddy","deer","diaper","dish","doctor","dog","doll","donkey","donut","door","downtown","drawer","dryer","duck","ear","egg","elephant","eye","face","farm","finger","fireman","food","foot","fork","friend","frog","game","garage","garbage","giraffe","girl","glass","glue","goose","grandma","grandpa","grapes","gum","hair","hamburger","hammer","hand","hat","head","helicopter","hen","home","horse","house","ice","jacket","jar","jeans","jello","jelly","juice","keys","kitchen","kitty","knee","knife","lady","lamb","lamp","leg","light","lion","lips","lollipop","man","meat","medicine","melon","milk","mittens","mommy","money","monkey","moose","mop","motorcycle","mouse","mouth","movie","muffin","nail","napkin","necklace","noodles","nose","nurse","nuts","outside","oven","owl","pajamas","pancake","pants","paper","park","party","peas","pen","pencil","penguin","penis","penny","people","person","pickle","picnic","picture","pig","pillow","pizza","plant","plate","playground","police","pony","popcorn","popsicle","porch","potato","present","pretzel","pudding","pumpkin","puppy","purse","puzzle","radio","raisin","refrigerator","room","rooster","salt","sandwich","sauce","scarf","school","scissors","sheep","shirt","shoe","shorts","shoulder","shower","sink","sister","sled","slipper","sneaker","soap","sock","soda","sofa","soup","spaghetti","spoon","squirrel","stairs","store","story","stove","strawberry","stroller","sweater","table","tape","teacher","telephone","tiger","tights","tissue","toast","toe","tongue","tooth","towel","tractor","train","trash","tray","tricycle","truck","tummy","tuna","turkey","turtle","tv","uncle","vacuum","vagina","vanilla","window","wolf","woods","yard","yogurt","zebra","zipper","zoo","bite","blow","break","bring","build","bump","buy","carry","catch","chase","clap","climb","close","cook","cover","cry","cut","dance","draw","drive","drop","dump","eat","fall","feed","find","finish","fit","fix","get","give","go","hate","have","hear","help","hide","hit","hold","hug","hurry","jump","kick","kiss","knock","lick","like","listen","look","love","make","open","paint","pick","play","pour","pretend","pull","push","put","read","ride","rip","run","say","see","shake","share","show","sing","sit","skate","sleep","smile","spill","splash","stand","stay","stop","sweep","swim","take","talk","taste","tear","think","throw","tickle","touch","wait","wake","walk","wash","wipe","wish","write"
"airplane",198,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alligator",5,57,5,0,1,4,0,0,12,0,0,14,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,7,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"animal",4,0,339,0,7,6,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,1,0,0,2,0,0,0,7,0,0,3,0,0,0,0,0,0,2,0,0,13,0,10,0,0,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,8,0,1,1,4,0,3,0,15,0,0,0,0,0,7,0,0,0,8,0,0,13,0,0,28,0,0,0,1,0,0,10,0,265,6,0,0,0,0,0,0,0,0,0,0,0,4,36,0,0,1,9,0,0,0,1,7,0,4,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,1,26,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,3,26,7,0,0,22,0,6,0,0,0,0,0,0,19,4,0,0,9,2,0,0,10,0,11,0,7,0,10,0,5,0,0,1,0,0,0,0,0,11,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,18,6,0,0,0,1,1,0,0,0,0,2,2,0,0,6,4,1,13,0,0,23,1,0,0,2,0,3,0,1,23,0,0,0,0,1,0,1,6,30,1,0,0,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,19,0,150,0,2,0,0,0,1,0,0,1,6,1,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,14,0,0,0,2,5,0,0,0,5,1,0,0,0,0,7,0,0,2,0,0,0,0,0,0,1,8
"ankle",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ant",4,0,0,0,75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"apple",7,0,0,0,20,846,1,0,2,0,0,24,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,52,0,0,0,0,1,0,14,0,0,12,0,5,0,0,0,0,0,0,0,2,15,10,0,0,1,0,24,0,0,0,0,0,2,1,0,3,2,0,15,0,23,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,6,13,0,3,0,0,0,6,1,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,1,0,3,1,0,0,0,0,0,4,1,0,2,1,0,19,2,11,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,1,13,0,1,0,0,0,7,0,0,2,0,509,0,0,2,0,5,0,0,0,0,1,0,0,0,2,1,6,0,1,0,1,25,1,0,0,10,2,24,0,1,0,0,0,0,1,0,0,0,0,0,0,3,5,11,2,2,1,0,0,0,2,0,3,0,0,0,1,0,3,0,0,15,0,2,0,0,8,0,0,0,4,0,0,3,0,2,0,0,0,0,0,23,0,12,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,2,0,1,0,2,27,0,0,0,0,1,0,0,0,0,2,0,0,9,0,0,0,0,0,0,4,5
"applesauce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arm",0,0,1,0,0,2,0,202,2,0,0,2,0,0,0,1,0,0,13,0,0,0,1,0,3,0,7,2,0,3,7,0,3,0,0,0,1,5,0,2,0,1,0,4,1,2,0,4,2,1,0,0,0,7,0,0,0,2,2,1,0,4,0,0,0,2,1,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,3,11,0,0,8,10,0,25,0,0,37,0,0,0,2,0,1,0,0,4,0,0,0,0,0,1,7,0,0,60,0,31,0,0,0,0,0,2,5,0,0,0,0,0,0,0,3,6,0,0,0,0,45,1,0,0,1,0,0,3,0,0,0,0,0,10,0,0,1,1,13,1,0,2,3,0,0,10,5,0,0,0,0,2,0,4,4,0,1,0,0,1,1,0,0,0,0,0,0,5,3,0,0,2,0,0,4,0,0,0,0,12,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,3,1,0,32,5,0,4,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,6,0,0,1,0,0,0,9,2,4,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,6,0,0,0,2,0,4,24,0,0,0,0,0,1,2,4,0,4,0,3,0,0,0,0,0,0,0,16,0,0,0,1,0,7,0,0,5,30,9,2,9,3,6,0,2,0,7,0,6,0,0,1,0,0,0,0,0,0,0,6,0,3,6,0,0,20,3,0,1,0,0,0,0,3,0,0,0,5,0,1,0,3,5,0,0,0,20,0,0,0,0,26,2,3,5
"aunt",0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"baby",125,7,178,0,10,77,0,35,59,4668,0,22,28,4,37,7,0,12,1881,214,0,25,3,5,11,3,347,76,54,38,573,0,253,10,88,0,17,6,105,63,0,15,54,251,83,47,1,32,34,7,8,89,2,278,30,0,0,15,14,39,0,14,8,1,4,12,102,11,15,56,0,24,122,9,16,2,189,1,22,13,71,84,321,27,150,10,18,0,350,86,0,36,0,1,3,219,54,81,313,128,102,67,36,0,118,136,5,60,20,25,3,2,67,0,31,1,17,25,9,0,1,163,8,10,175,0,97,1,19,239,181,109,7,7,4,0,4,7,114,0,19,309,34,2,32,61,2,26,33,58,0,1,81,5,8,1,121,0,997,10,81,2,2,0,25,116,8,1,4,5,4,0,164,88,0,32,22,382,9,0,16,28,16,5,0,23,5,25,0,1,0,0,4,0,244,250,29,8,11,6,0,13,15,0,4,2,66,23,1,2,56,121,17,24,4,7,17,197,5,4,1,21,3,31,6,56,47,87,3,6,3,3,104,1,2,1,27,37,6,1,13,15,44,14,0,23,70,3,6,0,9,0,30,0,24,40,0,11,7,117,19,57,24,6,21,6,7,0,78,53,0,16,38,5,30,6,1,2,33,11,0,6,56,34,0,28,51,46,54,109,14,42,61,66,37,5,36,32,57,18,46,307,25,51,43,21,42,0,0,150,162,489,36,56,44,1329,566,0,1,1904,68,109,42,26,246,95,10,83,45,383,24,7,1237,48,0,298,328,0,9,68,435,7,38,47,73,732,259,0,3,83,0,0,70,11,116,107,0,0,379,34,17,29,69,58,118,4,73,0,180,20,7,558,74,103,42,74,58,101,53,20,10,23
