"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
145913,18,"English (American)","WG","Second","White","Female",NA,"1",TRUE,FALSE,"Marchman","Graduate","comprehension",150,TRUE,"All Data",1071,"All Data (n = 1071)"
145914,18,"English (American)","WG","First","White","Male",NA,"2",TRUE,FALSE,"Marchman","Graduate","comprehension",185,TRUE,"All Data",1071,"All Data (n = 1071)"
145915,18,"English (American)","WG","Second","White","Male",NA,"3",TRUE,FALSE,"Marchman","Some College","comprehension",224,TRUE,"All Data",1071,"All Data (n = 1071)"
145916,18,"English (American)","WG","First","White","Male",NA,"4",TRUE,FALSE,"Marchman","College","comprehension",209,TRUE,"All Data",1071,"All Data (n = 1071)"
145917,18,"English (American)","WG","First","White","Female",NA,"5",TRUE,FALSE,"Marchman","Some College","comprehension",283,TRUE,"All Data",1071,"All Data (n = 1071)"
145918,17,"English (American)","WG","Second","White","Male",NA,"6",TRUE,FALSE,"Marchman","Some College","comprehension",324,TRUE,"All Data",1071,"All Data (n = 1071)"
145919,17,"English (American)","WG","First","White","Female",NA,"7",TRUE,FALSE,"Marchman","Some College","comprehension",189,TRUE,"All Data",1071,"All Data (n = 1071)"
145920,17,"English (American)","WG","First","White","Male",NA,"8",TRUE,FALSE,"Marchman","Some Secondary","comprehension",143,TRUE,"All Data",1071,"All Data (n = 1071)"
145921,17,"English (American)","WG","Second","Asian","Female",NA,"10",TRUE,FALSE,"Marchman","Some College","comprehension",297,TRUE,"All Data",1071,"All Data (n = 1071)"
145922,17,"English (American)","WG","Fourth","White","Male",NA,"11",TRUE,FALSE,"Marchman","Some Graduate","comprehension",73,TRUE,"All Data",1071,"All Data (n = 1071)"
145923,17,"English (American)","WG","First","White","Female",NA,"12",TRUE,FALSE,"Marchman","College","comprehension",183,TRUE,"All Data",1071,"All Data (n = 1071)"
145924,17,"English (American)","WG","First","White","Male",NA,"13",TRUE,FALSE,"Marchman","College","comprehension",169,TRUE,"All Data",1071,"All Data (n = 1071)"
145925,18,"English (American)","WG","Second","White","Female",NA,"14",TRUE,FALSE,"Marchman","Secondary","comprehension",269,TRUE,"All Data",1071,"All Data (n = 1071)"
145926,18,"English (American)","WG","Third","White","Male",NA,"15",TRUE,FALSE,"Marchman","Some College","comprehension",236,TRUE,"All Data",1071,"All Data (n = 1071)"
145927,18,"English (American)","WG","First","White","Female",NA,"16",TRUE,FALSE,"Marchman","Some College","comprehension",90,TRUE,"All Data",1071,"All Data (n = 1071)"
145928,17,"English (American)","WG","Second","White","Male",NA,"17",TRUE,FALSE,"Marchman","Secondary","comprehension",90,TRUE,"All Data",1071,"All Data (n = 1071)"
145929,18,"English (American)","WG","First","White","Male",NA,"18",TRUE,FALSE,"Marchman","Graduate","comprehension",128,TRUE,"All Data",1071,"All Data (n = 1071)"
145930,17,"English (American)","WG","First","White","Female",NA,"19",TRUE,FALSE,"Marchman","Graduate","comprehension",287,TRUE,"All Data",1071,"All Data (n = 1071)"
145931,17,"English (American)","WG","First","White","Male",NA,"20",TRUE,FALSE,"Marchman","College","comprehension",327,TRUE,"All Data",1071,"All Data (n = 1071)"
145932,18,"English (American)","WG","Second","White","Female",NA,"21",TRUE,FALSE,"Marchman","Graduate","comprehension",272,TRUE,"All Data",1071,"All Data (n = 1071)"
145933,18,"English (American)","WG","First","White","Female",NA,"22",TRUE,FALSE,"Marchman","College","comprehension",238,TRUE,"All Data",1071,"All Data (n = 1071)"
145934,18,"English (American)","WG","Third","White","Male",NA,"23",TRUE,FALSE,"Marchman","Graduate","comprehension",268,TRUE,"All Data",1071,"All Data (n = 1071)"
145935,17,"English (American)","WG","First","White","Male",NA,"24",TRUE,FALSE,"Marchman","Some College","comprehension",208,TRUE,"All Data",1071,"All Data (n = 1071)"
145936,18,"English (American)","WG","First","White","Female",NA,"25",TRUE,FALSE,"Marchman","Some College","comprehension",395,TRUE,"All Data",1071,"All Data (n = 1071)"
